mutant serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
,,5107,E,,5107,83.66850443,5100,5119,21,1,4,,,34357,-163.1509965,9,34063,72.40886688,18,34372,-21.80219269,11,34044,-30.46660423,27,2,65.93398704,3,28.51071322,,,21264,21.00241753,21262,21265,5,-1,7,,,70436,6.152010166,70435,70437,4,1,8,,,,,,,,,
,,5165,P,,5165,2.043854328,5165,5166,3,,7,,,35437,-218.8341967,11,35193,64.13941956,19,35456,-26.96133423,9,35170,4.13097477,5,1,39.29938351,0,0,,,22799,0.817825984,22799,22799,2,,7,,,71459,13.75235512,71458,71465,9,1,8,,,,,,,,,
,,5341,R,,5341,301.1226069,5336,5346,12,-1,3,,,35795,-232.2560378,10,35597,69.23441315,11,35809,16.66216278,11,35583,41.52352905,13,1,17.66478314,0,0,,,22802,2.56392762,22801,22803,4,-1,7,,,74549,4.813091003,74547,74550,5,1,8,,,,,,,,,
,,5349,r,,5349,4.548862448,5347,5350,5,-1,5,,,36053,-236.1323031,10,35906,53.03430557,11,36084,-17.34078598,5,0,0,0,0,0,0,0,,,23432,5.06893574,23430,23434,6,1,7,,,74875,1.379743926,74875,74875,2,,8,,,,,,,,,
,,5354,r,,5354,1.635651968,5354,5355,3,,5,,,36381,-226.716359,10,36227,77.60362244,13,36399,-31.18278503,11,36216,32.28615952,10,1,43.73781438,0,0,,,23448,7.708090011,23448,23449,3,,7,,,84502,0.928275653,84502,84502,2,,8,,,,,,,,,
,,5432,E,,5432,9.364004845,5432,5432,2,,4,,,37502,-207.543712,9,37302,94.24740601,20,0,0,0,0,0,0,2,56.89797084,1,15.79369794,,,23465,0.817825984,23465,23465,2,,7,,,84510,1.379743926,84510,84510,2,,8,,,,,,,,,
,,5434,i,,5434,10.67040957,5433,5435,4,-1,8,,,38205,-303.5807207,10,38020,117.3291245,19,38218,16.25276566,5,38005,-37.51028442,6,0,0,0,0,,,23477,11.87284513,23474,23484,12,1,7,,,87249,14.77876318,87247,87257,12,1,8,,,,,,,,,
,,6256,e,,6256,22.85388201,6253,6262,11,-1,6,,,38529,-282.6226992,10,38362,81.03820801,15,38542,-39.95035934,14,38352,-5.615346909,5,1,20.425344,0,0,,,25400,1.720783735,25400,25400,2,,7,,,87543,9.603632055,87541,87545,6,1,8,,,,,,,,,
,,6267,E,,6267,32.54084633,6263,6276,15,1,4,,,38857,-281.0779686,12,38694,101.8389893,18,38873,-42.13497162,13,0,0,0,1,16.74441356,0,0,,,25428,4.585065558,25428,25429,3,,7,,,88832,10.65486882,88831,88834,5,1,8,,,,,,,,,
,,6487,R,,6487,185.9270967,6482,6490,10,-1,3,,,39173,-315.7393855,10,39023,104.9024124,27,39189,-34.55483627,8,39005,-74.84992981,6,0,0,0,0,,,25454,19.03667398,25454,25455,3,,7,,,90720,3.799606119,90718,90721,5,1,8,,,,,,,,,
,,6570,i,,6570,8.9648887,6569,6573,6,-1,8,,,39471,-345.058745,10,39327,120.468277,22,39482,-29.03413582,10,39314,-30.28752136,6,1,21.68095513,0,0,,,25458,3.577335041,25457,25459,4,-1,7,,,90875,7.462150391,90873,90878,7,1,8,,,,,,,,,
,,6676,e,,6676,49.58269712,6671,6678,9,1,6,,,40579,-194.7560408,15,40379,150.1996155,26,0,0,0,0,0,0,3,54.81217579,0,0,,,25461,3.205321632,25461,25461,2,,7,,,90880,0.928275653,90880,90880,2,,8,,,,,,,,,
,,6683,E,,6683,49.27236102,6679,6695,18,1,4,,,40893,-134.7681838,7,40719,100.6829681,31,0,0,0,0,0,0,2,11.17517378,0,0,,,26892,13.67575043,26889,26896,9,-1,7,,,90890,4.761483371,90887,90891,6,1,8,,,,,,,,,
,,6727,P,,6727,16.30321321,6723,6733,12,-1,7,,,42584,-232.1903196,10,42337,62.71749115,15,42597,-19.91646004,8,42318,31.74231339,19,2,43.80949164,0,0,,,28785,2.23115735,28785,28786,3,,7,,,91606,4.530928594,91605,91609,6,-1,8,,,,,,,,,
,,6893,R,,6893,132.014327,6888,6897,11,-1,3,,,43274,-337.4766623,10,43076,38.88993073,20,43294,-36.29051971,21,0,0,0,1,20.00686334,1,9.862613606,,,29133,23.92947655,29123,29136,15,-1,7,,,100050,18.22459062,100043,100054,13,1,8,,,,,,,,,
